Time,Eye,coord1,coord2,coord3,coord4,coord5,coord6,coord7,coord8,coord9,coord10,coord11,Confidence,Attention,Attention Details
1.111141,Right,-0.006324783,2.278233,0.1797572,-0.03453942,1.04489,4.88948,40.95325,-7.795112,3.759241,40.00303,0.9980469,1,BG,BG
1.125984,Left,-0.003766511,2.277862,0.1841351,0.2601241,1.061959,4.878994,40.55391,-5.404368,3.81177,40.00035,0.9980469,1,BG,BG
1.125984,Right,-0.003766511,2.277862,0.1841351,-0.006930684,1.054911,4.887444,40.90427,-7.544549,3.79963,40.00159,0.9980469,1,BG,BG
1.153622,Left,0.001850123,2.277282,0.1935457,0.2309635,1.071431,4.87839,40.58276,-5.611761,3.797014,40.00324,0.9980469,1,BG,BG
1.153622,Right,0.001850123,2.277282,0.1935457,-0.03591346,1.064999,4.885129,40.94551,-7.75384,3.783655,40.00571,0.9980469,1,BG,BG
1.16811,Left,0.004907599,2.27712,0.1987165,0.2309635,1.071431,4.87839,40.57947,-5.602316,3.724611,40.00282,0.9980469,1,BG,BG
1.16811,Right,0.004907599,2.27712,0.1987165,-0.03591346,1.064999,4.885129,40.93967,-7.743706,3.706975,40.00377,0.9980469,1,BG,BG
1.183638,Left,0.008150354,2.277069,0.2038914,0.2309635,1.071431,4.87839,40.57661,-5.607491,3.626741,40.00293,0.9980469,1,BG,BG
1.183638,Right,0.008150354,2.277069,0.2038914,-0.03591346,1.064999,4.885129,40.93582,-7.748507,3.605115,40.00307,0.9980469,1,BG,BG
1.209457,Left,0.01520097,2.277396,0.2140923,0.203169,1.021611,4.8903,40.55873,-5.848821,2.989096,40.0042,0.9980469,1,BG,BG
1.209457,Right,0.01520097,2.277396,0.2140923,-0.06354599,1.016563,4.895157,40.93121,-7.989606,2.971028,40.00401,0.9980469,1,BG,BG
1.224266,Left,0.01899586,2.277762,0.2194586,0.2025288,1.018249,4.891027,40.54054,-5.841905,2.806501,40.00607,0.9980469,1,BG,BG
1.224266,Right,0.01899586,2.277762,0.2194586,-0.06421808,1.014405,4.895596,40.9141,-7.982042,2.795198,40.00663,0.9980469,1,BG,BG
